ITEM_NO,WS,LOCATION,STATUS,PO_INFO,IN_DATES,RLS_DATES,TIQ,CHAMBER_COUNT,OUT_DATES
4740,crazy_baker,loc_x,not sure,not sure,11/3/2018,,60,3,
3898,crazy_baker,loc_x,not sure,not sure,3/1/2019,,60,3,
7569,crazy_baker,loc_x,not sure,not sure,5/1/2019,,60,3,
5254,crazy_baker,loc_x,not sure,not sure,3/3/2020,,60,3,
319,strong_baker,loc_x,not sure,not sure,11/3/2018,,60,3,
8417,strong_baker,loc_x,not sure,not sure,3/1/2019,,60,3,
7916,strong_baker,loc_x,not sure,not sure,5/1/2019,,60,3,
4953,strong_baker,loc_x,not sure,not sure,3/3/2020,,60,3,
5741,mild_baker,loc_x,not sure,not sure,11/3/2018,,60,3,
9777,mild_baker,loc_x,not sure,not sure,3/1/2019,,60,3,
8764,mild_baker,loc_x,not sure,not sure,5/1/2019,,60,3,
8487,mild_baker,loc_x,not sure,not sure,3/3/2020,,60,3,
5155,tiny_baker,loc_x,not sure,not sure,11/3/2018,,60,3,
3947,tiny_baker,loc_x,not sure,not sure,3/1/2019,,60,3,
6123,tiny_baker,loc_x,not sure,not sure,5/1/2019,,60,3,
7280,tiny_baker,loc_x,not sure,not sure,3/3/2020,,60,3,
