ITEM_NO,WS,LOCATION,STATUS,PO_INFO,IN_DATES,RLS_DATES,TIQ,CHAMBER_COUNT,OUT_DATES
7236,crazy_former,loc_x,not sure,not sure,11/3/2018,,60,3,
5912,crazy_former,loc_x,not sure,not sure,3/1/2019,,60,3,
768,crazy_former,loc_x,not sure,not sure,5/1/2019,,60,3,
5548,crazy_former,loc_x,not sure,not sure,3/3/2020,,60,3,
5442,strong_former,loc_x,not sure,not sure,11/3/2018,,60,3,
4712,strong_former,loc_x,not sure,not sure,3/1/2019,,60,3,
3630,strong_former,loc_x,not sure,not sure,5/1/2019,,60,3,
9846,strong_former,loc_x,not sure,not sure,3/3/2020,,60,3,
3018,mild_former,loc_x,not sure,not sure,11/3/2018,,60,3,
5153,mild_former,loc_x,not sure,not sure,3/1/2019,,60,3,
6818,mild_former,loc_x,not sure,not sure,5/1/2019,,60,3,
3383,mild_former,loc_x,not sure,not sure,3/3/2020,,60,3,
4634,tiny_former,loc_x,not sure,not sure,11/3/2018,,60,3,
5111,tiny_former,loc_x,not sure,not sure,3/1/2019,,60,3,
1812,tiny_former,loc_x,not sure,not sure,5/1/2019,,60,3,
5766,tiny_former,loc_x,not sure,not sure,3/3/2020,,60,3,
