ITEM_NO,WS,LOCATION,STATUS,PO_INFO,IN_DATES,RLS_DATES,TIQ,CHAMBER_COUNT,OUT_DATES
2457,crazy_packager,loc_x,not sure,not sure,11/3/2018,,60,3,
7744,crazy_packager,loc_x,not sure,not sure,3/1/2019,,60,3,
7557,crazy_packager,loc_x,not sure,not sure,5/1/2019,,60,3,
1325,crazy_packager,loc_x,not sure,not sure,3/3/2020,,60,3,
5629,strong_packager,loc_x,not sure,not sure,11/3/2018,,60,3,
5744,strong_packager,loc_x,not sure,not sure,3/1/2019,,60,3,
4532,strong_packager,loc_x,not sure,not sure,5/1/2019,,60,3,
8211,strong_packager,loc_x,not sure,not sure,3/3/2020,,60,3,
7239,mild_packager,loc_x,not sure,not sure,11/3/2018,,60,3,
4709,mild_packager,loc_x,not sure,not sure,3/1/2019,,60,3,
5847,mild_packager,loc_x,not sure,not sure,5/1/2019,,60,3,
3636,mild_packager,loc_x,not sure,not sure,3/3/2020,,60,3,
1975,tiny_packager,loc_x,not sure,not sure,11/3/2018,,60,3,
7875,tiny_packager,loc_x,not sure,not sure,3/1/2019,,60,3,
219,tiny_packager,loc_x,not sure,not sure,5/1/2019,,60,3,
4292,tiny_packager,loc_x,not sure,not sure,3/3/2020,,60,3,
