KEY,STEP_NAME,FLOW,RPT,LS,UTIL,CT,LOAD_PCT,LOAD_PREF,SUB_FLOW
mild_add_butter of biscuits_of_fate,mild_add_butter,biscuits_of_fate,9,1,0.65,3,1,,"FF,BACKEND"
mild_add_sage of biscuits_of_fate,mild_add_sage,biscuits_of_fate,9,1,0.65,3,1,,"FF,BACKEND"
mild_add_sausage of biscuits_of_fate,mild_add_sausage,biscuits_of_fate,9,1,0.65,3,1,,"FF,BACKEND"
mild_add_butter of bubur_hitam,mild_add_butter,bubur_hitam,3,1,0.65,3,1,,"FF,BACKEND"
mild_add_salt of bubur_hitam,mild_add_salt,bubur_hitam,3,1,0.65,3,1,,"FF,BACKEND"
mild_add_sausage of bubur_hitam,mild_add_sausage,bubur_hitam,3,1,0.65,3,1,,"FF,BACKEND"
mild_add_sage of cake_of_destiny,mild_add_sage,cake_of_destiny,8,1,0.65,3,1,,"FF,BACKEND"
mild_add_sausage of cake_of_destiny,mild_add_sausage,cake_of_destiny,8,1,0.65,3,1,,"FF,BACKEND"
mild_add_butter of pasta_of_tear,mild_add_butter,pasta_of_tear,4,1,0.65,3,1,,"FF,BACKEND"
mild_add_sugar of pasta_of_tear,mild_add_sugar,pasta_of_tear,4,1,0.65,3,1,,"FF,BACKEND"
