KEY,STEP_NAME,FLOW,RPT,LS,UTIL,CT,LOAD_PCT,LOAD_PREF,SUB_FLOW
crazy_bak_butter of biscuits_of_fate,crazy_bak_butter,biscuits_of_fate,3,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sugar of biscuits_of_fate,crazy_bak_sugar,biscuits_of_fate,3,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sausage of biscuits_of_fate,crazy_bak_sausage,biscuits_of_fate,3,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_butter of bubur_hitam,crazy_bak_butter,bubur_hitam,4,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sage of bubur_hitam,crazy_bak_sage,bubur_hitam,4,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sausage of bubur_hitam,crazy_bak_sausage,bubur_hitam,4,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_butter of cake_of_destiny,crazy_bak_butter,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_salt of cake_of_destiny,crazy_bak_salt,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sugar of cake_of_destiny,crazy_bak_sugar,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sugar of pasta_of_tear,crazy_bak_sugar,pasta_of_tear,2,1,0.65,3,1,,"FF,BACKEND"
crazy_bak_sage of pasta_of_tear,crazy_bak_sage,pasta_of_tear,2,1,0.65,3,1,,"FF,BACKEND"
