KEY,STEP_NAME,FLOW,RPT,LS,UTIL,CT,LOAD_PCT,LOAD_PREF,SUB_FLOW
mild_bak_butter of biscuits_of_fate,mild_bak_butter,biscuits_of_fate,8,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sugar of biscuits_of_fate,mild_bak_sugar,biscuits_of_fate,8,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sausage of biscuits_of_fate,mild_bak_sausage,biscuits_of_fate,8,1,0.65,3,1,,"FF,BACKEND"
mild_bak_salt of bubur_hitam,mild_bak_salt,bubur_hitam,3,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sage of bubur_hitam,mild_bak_sage,bubur_hitam,3,1,0.65,3,1,,"FF,BACKEND"
mild_bak_butter of cake_of_destiny,mild_bak_butter,cake_of_destiny,3,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sage of cake_of_destiny,mild_bak_sage,cake_of_destiny,3,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sausage of cake_of_destiny,mild_bak_sausage,cake_of_destiny,3,1,0.65,3,1,,"FF,BACKEND"
mild_bak_butter of pasta_of_tear,mild_bak_butter,pasta_of_tear,6,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sugar of pasta_of_tear,mild_bak_sugar,pasta_of_tear,6,1,0.65,3,1,,"FF,BACKEND"
mild_bak_sausage of pasta_of_tear,mild_bak_sausage,pasta_of_tear,6,1,0.65,3,1,,"FF,BACKEND"
