KEY,STEP_NAME,FLOW,RPT,LS,UTIL,CT,LOAD_PCT,LOAD_PREF,SUB_FLOW
crazy_form_salt of biscuits_of_fate,crazy_form_salt,biscuits_of_fate,9,1,0.65,3,1,,"FF,BACKEND"
crazy_form_sausage of biscuits_of_fate,crazy_form_sausage,biscuits_of_fate,9,1,0.65,3,1,,"FF,BACKEND"
crazy_form_butter of bubur_hitam,crazy_form_butter,bubur_hitam,8,1,0.65,3,1,,"FF,BACKEND"
crazy_form_sage of bubur_hitam,crazy_form_sage,bubur_hitam,8,1,0.65,3,1,,"FF,BACKEND"
crazy_form_butter of cake_of_destiny,crazy_form_butter,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_form_salt of cake_of_destiny,crazy_form_salt,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_form_sugar of cake_of_destiny,crazy_form_sugar,cake_of_destiny,2,1,0.65,3,1,,"FF,BACKEND"
crazy_form_salt of pasta_of_tear,crazy_form_salt,pasta_of_tear,7,1,0.65,3,1,,"FF,BACKEND"
crazy_form_sage of pasta_of_tear,crazy_form_sage,pasta_of_tear,7,1,0.65,3,1,,"FF,BACKEND"
crazy_form_sausage of pasta_of_tear,crazy_form_sausage,pasta_of_tear,7,1,0.65,3,1,,"FF,BACKEND"
