,biscuits of fate,bubur hitam,cake of destiny,pasta of tears
2018-05-12,136,41,59,105
2018-05-19,166,120,150,180
2018-05-26,182,193,70,136
2018-06-02,171,60,144,82
2018-06-09,74,56,16,27
2018-06-16,37,59,154,142
2018-06-23,59,20,150,6
2018-06-30,115,174,29,102
2018-07-07,17,8,150,58
2018-07-14,163,23,45,147
2018-07-21,130,97,58,105
2018-07-28,8,67,123,56
2018-08-04,191,190,194,185
2018-08-11,101,113,32,32
2018-08-18,181,88,115,21
2018-08-25,3,54,51,52
2018-09-01,182,149,5,135
2018-09-08,12,187,184,78
2018-09-15,51,193,146,132
2018-09-22,132,125,52,183
2018-09-29,172,102,199,35
2018-10-06,42,52,113,47
2018-10-13,118,127,56,185
2018-10-20,56,198,137,178
2018-10-27,37,97,1,163
2018-11-03,50,119,83,14
2018-11-10,130,121,94,174
2018-11-17,130,90,157,186
2018-11-24,102,151,71,197
2018-12-01,182,76,92,110
2018-12-08,156,70,47,21
2018-12-15,172,124,68,74
2018-12-22,193,145,135,85
2018-12-29,100,173,164,56
2019-01-05,190,70,38,54
2019-01-12,161,166,74,103
2019-01-19,16,89,62,40
2019-01-26,151,4,23,184
2019-02-02,80,43,137,128
2019-02-09,186,160,4,130
2019-02-16,146,91,122,173
2019-02-23,22,39,184,186
2019-03-02,41,191,65,175
2019-03-09,91,10,141,28
2019-03-16,65,81,130,51
2019-03-23,44,176,4,165
2019-03-30,91,160,125,195
2019-04-06,39,121,85,152
2019-04-13,20,5,113,150
2019-04-20,185,49,25,163
2019-04-27,134,152,22,67
2019-05-04,126,155,131,16
2019-05-11,156,164,143,101
2019-05-18,105,65,15,3
2019-05-25,104,82,7,134
2019-06-01,71,4,25,175
2019-06-08,41,122,66,117
2019-06-15,3,197,161,2
2019-06-22,140,100,19,65
2019-06-29,135,65,83,157
